supplier_count,case_id,algorithm_name,random_seed,period,supplier_id,qjt,discount_threshold_Qj,discount_rate_rj,base_price_Pjt,discounted_price_pjt,discount_per_ton,discount_amount,threshold_ratio,reached_discount_threshold,is_active
20,I4_J20,ga_greedy_only,0,1,9,0.000000,1500000.000000,0.000076,906.757771,906.757771,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,0,0,10,0.000000,1500000.000000,0.000049,888.146005,888.146005,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,0,1,10,0.000000,1500000.000000,0.000049,971.283957,971.283957,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,0,0,11,0.000000,1500000.000000,0.000038,838.189030,838.189030,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,0,1,11,0.000000,1500000.000000,0.000038,858.504466,858.504466,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,0,0,12,0.000000,1500000.000000,0.000064,964.873022,964.873022,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,0,1,12,0.000000,1500000.000000,0.000064,967.958292,967.958292,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,0,0,13,0.000000,1500000.000000,0.000077,942.604206,942.604206,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,0,1,13,100000.000000,1500000.000000,0.000077,915.347772,907.635872,7.711900,771190.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,0,0,14,100000.000000,1500000.000000,0.000051,987.987089,982.905889,5.081200,508120.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,0,1,14,100000.000000,1500000.000000,0.000051,960.342824,955.261624,5.081200,508120.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,0,0,15,958478.773734,1500000.000000,0.000044,868.562596,826.489212,42.073384,40326445.744514,0.638986,0,1
20,I4_J20,ga_greedy_only,0,1,15,1849462.365591,1500000.000000,0.000044,936.746789,870.902789,65.844000,121776000.000000,1.232975,1,1
20,I4_J20,ga_greedy_only,0,0,16,0.000000,1500000.000000,0.000003,853.112955,853.112955,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,0,1,16,352657.884053,1500000.000000,0.000003,819.060419,817.848686,1.211732,427327.015824,0.235105,0,1
20,I4_J20,ga_greedy_only,0,0,17,100000.000000,1500000.000000,0.000009,801.213033,800.326133,0.886900,88690.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,0,1,17,562116.273428,1500000.000000,0.000009,839.741882,834.756473,4.985409,2802379.657342,0.374744,0,1
20,I4_J20,ga_greedy_only,0,0,18,100000.000000,1500000.000000,0.000042,907.455934,903.296534,4.159400,415940.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,0,1,18,100000.000000,1500000.000000,0.000042,907.070218,902.910818,4.159400,415940.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,0,0,19,527976.418402,1500000.000000,0.000045,941.437216,917.616504,23.820712,12576774.241976,0.351984,0,1
20,I4_J20,ga_greedy_only,0,1,19,0.000000,1500000.000000,0.000045,854.487776,854.487776,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,0,0,100000.000000,1500000.000000,0.000027,862.655137,859.987137,2.668000,266800.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,1,1,0,100000.000000,1500000.000000,0.000027,926.999545,924.331545,2.668000,266800.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,1,0,1,100000.000000,1500000.000000,0.000013,809.027682,807.761982,1.265700,126570.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,1,1,1,100000.000000,1500000.000000,0.000013,890.173310,888.907610,1.265700,126570.000000,0.066667,0,1
20,I4_J20,ga_greedy_only,1,0,2,0.000000,1500000.000000,0.000050,923.901352,923.901352,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,1,2,0.000000,1500000.000000,0.000050,921.584641,921.584641,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,0,3,0.000000,1500000.000000,0.000041,906.078369,906.078369,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,1,3,0.000000,1500000.000000,0.000041,902.216840,902.216840,0.000000,0.000000,0.000000,0,0
20,I4_J20,ga_greedy_only,1,0,4,0.000000,1500000.000000,0.000027,877.099034,877.099034,0.000000,0.000000,0.000000,0,0
