instance_name,algorithm_name,base_id,supplier_id,total_purchase_qty,total_iron_qty,purchase_share_in_base,is_selected
case_5x30,ga_greedy_only,3,19,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,20,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,21,100000.000000,67181.479346,0.176068,1
case_5x30,ga_greedy_only,3,22,100000.000000,81630.416835,0.176068,1
case_5x30,ga_greedy_only,3,23,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,24,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,25,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,26,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,27,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,28,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,3,29,267960.788649,257728.415988,0.471795,1
case_5x30,ga_greedy_only,4,0,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,1,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,2,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,3,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,4,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,5,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,6,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,7,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,8,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,9,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,10,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,11,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,12,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,13,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,14,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,15,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,16,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,17,100000.000000,79000.000000,0.124393,1
case_5x30,ga_greedy_only,4,18,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,19,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,20,100000.000000,38947.936823,0.124393,1
case_5x30,ga_greedy_only,4,21,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,22,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,23,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,24,200000.000000,122286.395037,0.248786,1
case_5x30,ga_greedy_only,4,25,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,26,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,27,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,28,0.000000,0.000000,0.000000,0
case_5x30,ga_greedy_only,4,29,403902.759052,388479.295156,0.502427,1
